,algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,PR_AUC,band_param,epochs,sigmoid_pow
24,KDEAE,GutenTAG,cbf-diff-count-2.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,7.748214244842529,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 50, 'sigmoid_pow': 1.0}",e68c360c4c261c5b4d2ef451fa562bd6,0.4664137491635819,0.1661622635779257,0.004,50.0,1.0
25,KDEAE,GutenTAG,cbf-diff-count-2.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,11.222490549087524,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 100, 'sigmoid_pow': 1.0}",51fb74a4c0dc93f19fef6919e9fd845d,0.4146188383865157,0.0523248178853461,0.004,100.0,1.0
26,KDEAE,GutenTAG,cbf-diff-count-2.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,14.932793140411375,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 150, 'sigmoid_pow': 1.0}",42d9595edf3ffec4c2e573e4a8337eae,0.5717979313842082,0.167997884347098,0.004,150.0,1.0
27,KDEAE,GutenTAG,cbf-diff-count-2.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.61594009399414,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.5094899074714018,0.1668223508381225,0.004,200.0,1.0
28,KDEAE,GutenTAG,cbf-diff-count-2.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,20.271353006362915,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 250, 'sigmoid_pow': 1.0}",5014270011609e9cf61a7fd7fcd9c215,0.4288587005988203,0.0525194544474419,0.004,250.0,1.0
29,KDEAE,GutenTAG,cbf-diff-count-2.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,23.99156618118286,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 300, 'sigmoid_pow': 1.0}",ab233335a132d5907b0b55a85a1002a9,0.5749610671745021,0.2809200269134742,0.004,300.0,1.0
30,KDEAE,GutenTAG,cbf-diff-count-3.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,7.484063148498535,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 50, 'sigmoid_pow': 1.0}",e68c360c4c261c5b4d2ef451fa562bd6,0.6337091966435807,0.0466345992664738,0.004,50.0,1.0
31,KDEAE,GutenTAG,cbf-diff-count-3.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,10.83907985687256,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 100, 'sigmoid_pow': 1.0}",51fb74a4c0dc93f19fef6919e9fd845d,0.7088772892350168,0.4086020458575068,0.004,100.0,1.0
32,KDEAE,GutenTAG,cbf-diff-count-3.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,13.90344738960266,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 150, 'sigmoid_pow': 1.0}",42d9595edf3ffec4c2e573e4a8337eae,0.7407043261090202,0.4644774981074016,0.004,150.0,1.0
33,KDEAE,GutenTAG,cbf-diff-count-3.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.19668745994568,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.7579344831105215,0.5203235591506572,0.004,200.0,1.0
