,algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,PR_AUC,band_param,epochs,sigmoid_pow
27,KDEAE,GutenTAG,cbf-diff-count-3.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.903630256652832,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.6148617053522062,0.4020801085126407,0.004,200.0,1.0
28,KDEAE,GutenTAG,cbf-diff-count-3.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.433839321136475,,Status.OK,,1,"{'band_param': 0.006, 'epochs': 200, 'sigmoid_pow': 1.0}",989ca0697fea2a13d73964c4951a6aad,0.769144886852603,0.1932145985029162,0.006,200.0,1.0
29,KDEAE,GutenTAG,cbf-diff-count-3.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.224743366241455,,Status.OK,,1,"{'band_param': 0.01, 'epochs': 200, 'sigmoid_pow': 1.0}",70c4595bdfed752ec33301c4dbd1fc4c,0.7116740514185882,0.3490593861664576,0.01,200.0,1.0
30,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.141143083572388,,Status.OK,,1,"{'band_param': 0.001, 'epochs': 200, 'sigmoid_pow': 1.0}",cafd8192ffdb0d561ad04a1c63be302b,0.5806448519027375,0.3335434227410536,0.001,200.0,1.0
31,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.94079279899597,,Status.OK,,1,"{'band_param': 0.002, 'epochs': 200, 'sigmoid_pow': 1.0}",1434138a3368b058d85ddc9aebdb45c2,0.5416392209492433,0.2573842857173861,0.002,200.0,1.0
32,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,16.986159563064575,,Status.OK,,1,"{'band_param': 0.004, 'epochs': 200, 'sigmoid_pow': 1.0}",fd84d17c8bc0f5bcbadcc21bc5d9cb1e,0.5504511373745075,0.2579619263666807,0.004,200.0,1.0
33,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.013164281845093,,Status.OK,,1,"{'band_param': 0.006, 'epochs': 200, 'sigmoid_pow': 1.0}",989ca0697fea2a13d73964c4951a6aad,0.5714114446158267,0.2453563721794933,0.006,200.0,1.0
34,KDEAE,GutenTAG,cbf-diff-count-4.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.063326358795166,,Status.OK,,1,"{'band_param': 0.01, 'epochs': 200, 'sigmoid_pow': 1.0}",70c4595bdfed752ec33301c4dbd1fc4c,0.5660462992554289,0.2588321134985359,0.01,200.0,1.0
35,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.251541137695312,,Status.OK,,1,"{'band_param': 0.001, 'epochs': 200, 'sigmoid_pow': 1.0}",cafd8192ffdb0d561ad04a1c63be302b,0.5200196196663255,0.3040154754973121,0.001,200.0,1.0
36,KDEAE,GutenTAG,cbf-diff-count-5.unsupervised,UNSUPERVISED,UNIVARIATE,UNSUPERVISED,UNIVARIATE,,,,17.524431705474854,,Status.OK,,1,"{'band_param': 0.002, 'epochs': 200, 'sigmoid_pow': 1.0}",1434138a3368b058d85ddc9aebdb45c2,0.5369595076793899,0.3024871804877652,0.002,200.0,1.0
